started_at,finished_at,seconds,memory
2013-12-26 21:38:02 -0600,2013-12-26 21:38:28 -0600,25.834966,292224
2013-12-26 21:38:28 -0600,2013-12-26 21:38:54 -0600,26.073664,291528
2013-12-26 21:38:54 -0600,2013-12-26 21:39:20 -0600,26.057027,291528
2013-12-26 21:39:20 -0600,2013-12-26 21:39:45 -0600,25.355263,291528
2013-12-26 21:39:45 -0600,2013-12-26 21:40:11 -0600,26.040182,291528
2013-12-26 21:40:11 -0600,2013-12-26 21:40:37 -0600,25.842513,291608
2013-12-26 21:40:37 -0600,2013-12-26 21:41:03 -0600,25.327613,291528
2013-12-26 21:41:03 -0600,2013-12-26 21:41:28 -0600,25.667283,292340
2013-12-26 21:41:28 -0600,2013-12-26 21:41:53 -0600,25.263094,292552
2013-12-26 21:41:53 -0600,2013-12-26 21:42:20 -0600,26.171287,292552
2013-12-26 21:42:20 -0600,2013-12-26 21:42:46 -0600,26.322927,292552
2013-12-26 21:42:46 -0600,2013-12-26 21:43:13 -0600,26.64589,293188
2013-12-26 21:43:13 -0600,2013-12-26 21:43:39 -0600,26.337877,292552
2013-12-26 21:43:39 -0600,2013-12-26 21:44:05 -0600,26.234523,292552
2013-12-26 21:44:05 -0600,2013-12-26 21:44:31 -0600,26.079258,292920
2013-12-26 21:44:31 -0600,2013-12-26 21:44:58 -0600,26.295758,292568
2013-12-26 21:44:58 -0600,2013-12-26 21:45:24 -0600,26.16256,293388
2013-12-26 21:45:24 -0600,2013-12-26 21:45:50 -0600,25.98958,293432
2013-12-26 21:45:50 -0600,2013-12-26 21:46:16 -0600,26.211998,293600
2013-12-26 21:46:16 -0600,2013-12-26 21:46:42 -0600,26.082926,294148
2013-12-26 21:46:42 -0600,2013-12-26 21:47:08 -0600,25.995556,294624
2013-12-26 21:47:08 -0600,2013-12-26 21:47:34 -0600,26.047207,295648
2013-12-26 21:47:34 -0600,2013-12-26 21:48:01 -0600,26.381465,295648
2013-12-26 21:48:01 -0600,2013-12-26 21:48:27 -0600,26.138623,295648
2013-12-26 21:48:27 -0600,2013-12-26 21:48:52 -0600,25.679268,287456
2013-12-26 21:48:52 -0600,2013-12-26 21:49:19 -0600,26.175954,287456
2013-12-26 21:49:19 -0600,2013-12-26 21:49:44 -0600,25.624027,287456
2013-12-26 21:49:44 -0600,2013-12-26 21:50:10 -0600,26.060957,287456
2013-12-26 21:50:10 -0600,2013-12-26 21:50:36 -0600,25.906927,288892
2013-12-26 21:50:36 -0600,2013-12-26 21:51:02 -0600,25.562627,295940
2013-12-26 21:51:02 -0600,2013-12-26 21:51:28 -0600,25.816848,296912
2013-12-26 21:51:28 -0600,2013-12-26 21:51:54 -0600,25.956721,289504
2013-12-26 21:51:54 -0600,2013-12-26 21:52:20 -0600,26.106501,289504
2013-12-26 21:52:20 -0600,2013-12-26 21:52:46 -0600,25.89392,289724
2013-12-26 21:52:46 -0600,2013-12-26 21:53:12 -0600,25.993198,296256
2013-12-26 21:53:12 -0600,2013-12-26 21:53:38 -0600,26.735642,297516
2013-12-26 21:53:38 -0600,2013-12-26 21:54:04 -0600,26.206353,298692
2013-12-26 21:54:04 -0600,2013-12-26 21:54:30 -0600,25.986502,297684
2013-12-26 21:54:30 -0600,2013-12-26 21:54:57 -0600,26.386202,298708
2013-12-26 21:54:57 -0600,2013-12-26 21:55:23 -0600,26.321403,299732
2013-12-26 21:55:23 -0600,2013-12-26 21:55:49 -0600,26.126668,299948
2013-12-26 21:55:49 -0600,2013-12-26 21:56:15 -0600,25.893488,299760
2013-12-26 21:56:15 -0600,2013-12-26 21:56:41 -0600,26.17094,300756
2013-12-26 21:56:41 -0600,2013-12-26 21:57:08 -0600,26.120451,300756
2013-12-26 21:57:08 -0600,2013-12-26 21:57:33 -0600,25.534397,300756
